date,type,source,description,amount,currency,thread_id
2026-02-01,purchase,メルカリ,ドジャース ナップサック 大谷翔平 リュック,999,JPY,19c18747e605d554
2026-02-01,purchase,メルカリ,ドジャース トレーナー 130,900,JPY,19c18747e605d554
2026-02-08,purchase,メルカリ,MLBドジャース トレーナー 130cm アップリケ,1899,JPY,19c3c51cff61d158
2026-02-08,purchase,メルカリ,MLBドジャース 裏起毛ロングパンツ 130cm,1899,JPY,19c3c51cff61d158
2026-02-08,purchase,メルカリ,LA dodgers 9twenty ワールドシリーズ2024 キャップ,4980,JPY,19c3c51cff61d158
2026-02-08,purchase,メルカリ,Home Game New Era LA Dodgers 9TWENTY キャップ,4999,JPY,19c3c51cff61d158
2026-02-08,purchase,メルカリ,ニューエラ CORE CLASSIC 9TWENTY ドジャース 黒 キャップ,5980,JPY,19c3c51cff61d158
2026-04-14,purchase,ユニクロ(no-reply@ml.store.uniqlo.com),電子レシート 札幌二十四軒店（Kカーゴジョガーパンツ ¥2490等）,,JPY,19d8b040c619932c
2026-06-11,purchase,メルカリ,NEW ERA 9TWENTY ゴンザガ大学 八村塁 キャップ,2580,JPY,19eb73cfd81c7ef4
2026-06-12,purchase,メルカリ,NEW ERA 9TWENTY MLB ブルワーズ キャップ,3600,JPY,19ebadef9d40ee91
2026-06-17,purchase,メルカリ,New Era Yankees 9TWENTY キャップ コラボ,6800,JPY,19ed3ed04eeed5c8
2026-06-17,purchase,メルカリ,ChicagoBulls NEWERA 9TWENTY キャップ,2980,JPY,19ed3ed04eeed5c8
2026-06-18,purchase,メルカリ,ニューエラ 9TWENTY ワールドシリーズ2025 キャップ,3100,JPY,19edabf3997b000c
2026-06-18,purchase,メルカリ,ニューエラ 9TWENTY フェニックスサンズ NBA キャップ,3480,JPY,19edabf3997b000c
2026-06-23,purchase,メルカリ,ギャルソンオム キュプラストライプシャツ 製品染 L,25000,JPY,19ef3408549211ea
2026-06-23,purchase,メルカリ,COMME des GARCONS HOMME ボーダーTシャツ,20000,JPY,19ef3408549211ea
2026-06-23,purchase,メルカリ,COMME des GARCONS HOMME 綿麻デニムタックテーパードパンツ,25000,JPY,19ef3408549211ea
2026-06-26,purchase,メルカリ,mame kurogouchi ワンピース,49800,JPY,19f0603627e280cf
2026-06-27,purchase,メルカリ,mame kurogouchi Flower print dress,39000,JPY,19f0603627e280cf
2026-06-27,purchase,メルカリ,mame kurogouchi 刺繍ブラウス,23999,JPY,19f0603627e280cf
2026-06-27,purchase,メルカリ,プリーツプリーズ ハイネック長袖トップス 青,16900,JPY,19f0603627e280cf
2026-06-27,purchase,メルカリ,Alexander McQueen ブラックカーディガン M,29800,JPY,19f0603627e280cf
2026-06-28,purchase,メルカリ,PLEATS PLEASE PEANUTS ワンピース 赤,40100,JPY,19f0e153d2e8ec04
2026-07-03,purchase,メルカリ,HARUNOBUMIRATA ネイビー ポンチョワンピース,30000,JPY,19f280c775c3c489
2026-07-03,purchase,メルカリ,ヌキテパ コットンエスニックプリントドレス ロングワンピース,12999,JPY,19f280c775c3c489
2026-07-07,purchase,メルカリ,Maison Margiela 足袋バレエ 3cmヒール,75100,JPY,19f3c7c5159cc342
2026-07-08,purchase,メルカリShops(H3),エルメス HERMES デスタン ローファー レザー ブラック（金額はメール本文に記載なし）,,JPY,19f4185ea1223432
2026-07-10,purchase,ZOZOTOWN(order@contact.zozo.jp),COMME des GARCONS HOMME COTTON BORDER TEE XL 黒白（注文359668969）,31900,JPY,19f4aacab5008476
2026-07-21,purchase,ZOZOTOWN(order@contact.zozo.jp),COMME des GARCONS HOMME COTTON PLAIN BIG T-SHIRTS 白L（注文368507029・送料込）,28930,JPY,19f84de0491ecdc4
2026-07-21,purchase,ZOZOTOWN(order@contact.zozo.jp),COMME des GARCONS HOMME COTTON PLAIN BIG T-SHIRTS 白L（注文368507398・送料込）,28930,JPY,19f84de0491ecdc4
2026-07-24,purchase,ZOZOTOWN(order@contact.zozo.jp),COMME des GARCONS HOMME COTTON RAMDOM BORDER T-SHIRTS グレーL（注文369759865・送料込）,28930,JPY,19f920633aadb512
2026-07-26,purchase,ZOZOTOWN(order@contact.zozo.jp),COMME des GARCONS HOMME COTTON PLAIN BIG T-SHIRTS 白L（注文371276968）,28600,JPY,19f9ca640bc3141e
