date,vendor,category,description,amount,currency,thread_id
2025-10-21,PAYPAL*FAST TRADE,procurement_paypal,タカシマ企画デビット FAST TRADE決済,29886,JPY,19a04ffb32880a36
2025-10-24,PAYPAL*FAST TRADE,procurement_paypal,タカシマ企画デビット FAST TRADE決済,4880,JPY,19a121b272d41209
2025-10-24,PAYPAL*FAST TRADE,procurement_paypal,タカシマ企画デビット FAST TRADE決済,9591,JPY,19a121b272d41209
2025-10-28,PAYPAL*FAST TRADE,procurement_paypal,タカシマ企画デビット FAST TRADE決済,6953,JPY,19a28096e10c3b90
2025-10-28,PAYPAL*FAST TRADE,procurement_paypal,タカシマ企画デビット FAST TRADE決済,14259,JPY,19a28096e10c3b90
2025-10-30,PAYPAL*FAST TRADE,procurement_paypal,タカシマ企画デビット FAST TRADE決済,14058,JPY,19a3284454f59cff
2025-10-30,PAYPAL*FAST TRADE,procurement_paypal,タカシマ企画デビット FAST TRADE決済,10666,JPY,19a3284454f59cff
2025-10-31,PAYPAL*FAST TRADE,procurement_paypal,タカシマ企画デビット FAST TRADE決済,17000,JPY,19a39cb2036f605f
2025-10-31,PAYPAL*FAST TRADE,procurement_paypal,タカシマ企画デビット FAST TRADE決済,4631,JPY,19a39cb2036f605f
2025-10-31,PAYPAL*FAST TRADE,procurement_paypal,タカシマ企画デビット FAST TRADE決済,1975,JPY,19a3c81bbb207f1c
2025-11-02,PAYPAL*FAST TRADE,procurement_paypal,タカシマ企画デビット FAST TRADE決済,2244,JPY,19a435241e77d599
2025-11-03,Shopify,shopify,THE FAB CLUB 月額請求 Nov 3 2025 ($128.56),128.56,USD,19a4880e3e8232c3
2025-11-03,SHOPIFY* 439861567,shopify,タカシマ企画デビット引落(上記$128.56のJPY建て),20351,JPY,19a47d8779867f16
2025-11-05,PAYPAL*FAST TRADE,procurement_paypal,タカシマ企画デビット FAST TRADE決済(期間内最後の仕入決済),103668,JPY,19a51d5ac3ad8b50
2025-12-03,Shopify,shopify,THE FAB CLUB 月額請求 Dec 3 2025,133.47,USD,19ae31365bd5ce43
2026-01-02,Shopify,shopify,THE FAB CLUB 月額請求 Jan 2 2026,114.74,USD,19b7d9682e6c63b9
2026-02-01,Shopify,shopify,THE FAB CLUB 月額請求 Feb 1 2026,107.00,USD,19c180417873f0b3
2026-06-02,Meta (FACEBK *XTET2S9KP2),meta_ads,タカシマ企画デビット Facebook/Instagram広告費(広告再開),16642,JPY,19e8640475882bf2
2026-06-09,Meta (FACEBK *GTGS7T5KP2),meta_ads,タカシマ企画デビット Facebook/Instagram広告費,39330,JPY,19eab78c0a7677b9
2026-07-02,Shopify,shopify,THE FAB CLUB Mar 3 2026サイクル分取引手数料(7/2にまとめて決済),0.78,USD,19f21885dad4da07
2026-07-02,Shopify,shopify,THE FAB CLUB サブスク再開請求 Jul 2 2026(同日「支払いと決済が有効になりました」通知=ストア再開),33.00,USD,19f21980638f3a6e
