date,signal_type,card_last,merchant,amount,currency,note,thread_id
2025-12-06,monthly_debit,1005,,254678,JPY,振替日2025-12-10(下5桁51005表記),19af4df778565b05
2025-12-07,weekly_total,1005,,619973,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19afae790155f686
2025-12-07,weekly_total,3004,,1010541,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19afae790155f686
2025-12-11,safekey,1003,YODOBASHI CAMERA,49500,JPY,下5桁71003,19b0cc061a3387a0
2025-12-13,safekey,1003,TOHO CINEMAS,6600,JPY,下5桁71003,19b168764b0badff
2025-12-19,billed_confirm,3009,,,,請求金額確定通知(金額はメール未記載)(下5桁73009),19b34c09e168316a
2025-12-19,billed_confirm,3004,,,,請求金額確定通知(金額はメール未記載)(下5桁33004),19b34c09e168316a
2025-12-19,billed_confirm,1005,,,,請求金額確定通知(金額はメール未記載)(下5桁51005),19b34c09e168316a
2025-12-21,billed_confirm,1003,,,,請求金額確定通知(金額はメール未記載)(下5桁71003),19b3e44775511ab3
2025-12-27,safekey,3004,WITHHOLDING INCOME TAX,626087,JPY,下5桁33004; 源泉所得税納付,19b5d8e5c99fa3d2
2026-01-04,weekly_total,1005,,479068,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19b8b1967d49a8e2
2026-01-04,weekly_total,3004,,2969221,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19b8b1967d49a8e2
2026-01-05,weekly_total,1003,,9166573,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19b8b1967d49a8e2
2026-01-05,weekly_total,3009,,4518855,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19b8b1967d49a8e2
2026-01-09,monthly_debit,1005,,404142,JPY,振替日2026-01-13(下5桁51005表記),19ba409e08941bc3
2026-01-09,monthly_debit,3004,,998366,JPY,振替日2026-01-13(下5桁33004表記),19ba409e08941bc3
2026-01-14,safekey,1003,KIDSLINE,0,JPY,下5桁71003; 0円認証,19bbc82fc51d6135
2026-01-14,safekey,1003,KIDSLINE,0,JPY,下5桁71003; 0円認証,19bbc7fe277a819b
2026-01-15,safekey,1003,ヤフージャパン,0,JPY,下5桁71003; 0円認証,19bbf994e08536db
2026-01-16,safekey,1003,MUJInetstore,9960,JPY,下5桁71003; apparel/生活雑貨,19bc5b3fc3b1b5ec
2026-01-16,safekey,1003,MUJInetstore,9960,JPY,下5桁71003; apparel/生活雑貨,19bc5b0d16414f68
2026-01-16,safekey,1003,PRIO,7219,JPY,下5桁71003,19bc4ce2ad345f87
2026-01-18,safekey,1005,TICKETJAM,123706,JPY,下5桁51005,19bcfc9e9837a9a4
2026-01-19,billed_confirm,3009,,,,請求金額確定通知(金額はメール未記載)(下5桁73009),19bd42bd6ed05b8c
2026-01-19,billed_confirm,3004,,,,請求金額確定通知(金額はメール未記載)(下5桁33004),19bd42bd6ed05b8c
2026-01-19,billed_confirm,1005,,,,請求金額確定通知(金額はメール未記載)(下5桁51005),19bd42bd6ed05b8c
2026-01-20,safekey,1003,かめ吉,1329850,JPY,下5桁71003; 高額決済(時計商か)2通,19bd9eb595ba2eae
2026-01-20,safekey,1003,かめ吉,1329850,JPY,下5桁71003,19bd9df92922d185
2026-01-21,billed_confirm,1003,,,,請求金額確定通知(金額はメール未記載)(下5桁71003),19bddea078693a18
2026-02-01,weekly_total,1005,,263800,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19c1b4bfd097311e
2026-02-01,weekly_total,3004,,2143561,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19c1b4bfd097311e
2026-02-02,weekly_total,1003,,9074141,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19c1b4bfd097311e
2026-02-02,weekly_total,3009,,5085957,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19c1b4bfd097311e
2026-02-02,safekey,1011,KIDSLINE,9933,JPY,下5桁71011(梓名義),19c1e6b8109acbed
2026-02-02,safekey,1011,KIDSLINE,0,JPY,下5桁71011(梓名義); 0円認証,19c1e6ae1c41e9d0
2026-02-03,safekey,1011,KIDSLINE,9933,JPY,下5桁71011(梓名義),19c237347788cfb0
2026-02-06,monthly_debit,1005,,222777,JPY,振替日2026-02-10(下5桁51005表記),19c33fb85c8b4d16
2026-02-06,monthly_debit,3004,,2072291,JPY,振替日2026-02-10(下5桁33004表記),19c33fb85c8b4d16
2026-02-11,safekey,1003,Hirafu Hanazono,21800,JPY,下5桁71003; travel(ニセコ),19c4f1f2250e2ea7
2026-02-19,billed_confirm,3009,,,,請求金額確定通知(金額はメール未記載)(下5桁73009),19c733aa8f64f05a
2026-02-19,billed_confirm,1005,,,,請求金額確定通知(金額はメール未記載)(下5桁51005),19c733aa8f64f05a
2026-02-21,billed_confirm,1003,,,,請求金額確定通知(金額はメール未記載)(下5桁71003),19c7d8fbcdff2f2f
2026-03-01,weekly_total,1005,,116053,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19cab7d763f63c95
2026-03-01,weekly_total,3004,,128213,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19cab7d763f63c95
2026-03-02,weekly_total,1003,,3799484,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19cab7d763f63c95
2026-03-02,weekly_total,3009,,1179511,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19cab7d763f63c95
2026-03-03,safekey,1003,チケプラトレード,12103,JPY,下5桁71003,19cb45026b5dca43
2026-03-03,safekey,1003,チケプラトレード,7825,JPY,下5桁71003,19cb1d38446ecd4e
2026-03-03,safekey,1003,チケプラトレード,0,JPY,下5桁71003; 0円認証,19cb1d302cc7b3f0
2026-03-03,safekey,1003,チケプラトレード,0,JPY,下5桁71003; 0円認証,19cb1d1fc228494e
2026-03-03,safekey,1003,チケプラトレード,0,JPY,下5桁71003; 0円認証,19cb1ce1733b07af
2026-03-05,safekey,1011,MITENE MIMAMORI GPS,0,JPY,下5桁71011(梓名義); カード登録認証(0円),19cbbe85ec88344f
2026-03-07,monthly_debit,3009,,1082146,JPY,振替日2026-03-10,19cc65978c6e3965
2026-03-07,monthly_debit,1005,,71446,JPY,振替日2026-03-10,19cc65978c6e3965
2026-03-07,monthly_debit,3004,,119575,JPY,振替日2026-03-10,19cc65978c6e3965
2026-03-07,monthly_debit,1003,,3313310,JPY,振替日2026-03-10,19cc65978c6e3965
2026-03-18,billed_confirm,1005,,,,請求金額確定通知(金額はメール未記載)(下5桁51005),19d0353c7e1185be
2026-03-18,billed_confirm,3004,,,,請求金額確定通知(金額はメール未記載)(下5桁33004),19d0353c7e1185be
2026-03-19,billed_confirm,3009,,,,請求金額確定通知(金額はメール未記載)(下5桁73009),19d0353c7e1185be
2026-03-21,billed_confirm,1003,,,,請求金額確定通知(金額はメール未記載)(下5桁71003),19d0dc55cbc44aa6
2026-03-23,safekey,1011,KIDSLINE,9933,JPY,下5桁71011(梓名義),19d193a3390bc2e3
2026-04-05,weekly_total,1005,,184607,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19d5fbcf542cb2b6
2026-04-05,weekly_total,3004,,233305,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19d5fbcf542cb2b6
2026-04-06,monthly_debit,3009,,161617,JPY,振替日2026-04-10,19d650addbe68351
2026-04-06,weekly_total,1003,,2952985,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19d5fbcf542cb2b6
2026-04-06,weekly_total,3009,,2194506,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19d5fbcf542cb2b6
2026-04-07,monthly_debit,1005,,140415,JPY,振替日2026-04-10,19d650addbe68351
2026-04-07,monthly_debit,1003,,2100899,JPY,振替日2026-04-10,19d650addbe68351
2026-04-07,monthly_debit,3004,,92596,JPY,振替日2026-04-10,19d650addbe68351
2026-04-11,safekey,1003,MLB Japan Online Store,6314,JPY,下5桁71003; apparel,19d7c8ccfae51736
2026-04-19,billed_confirm,1005,,,,請求金額確定通知(金額はメール未記載)(下5桁51005),19da32474447456d
2026-04-19,billed_confirm,3004,,,,請求金額確定通知(金額はメール未記載)(下5桁33004),19da32474447456d
2026-04-19,billed_confirm,3009,,,,請求金額確定通知(金額はメール未記載)(下5桁73009),19da32474447456d
2026-04-21,billed_confirm,1003,,,,請求金額確定通知(金額はメール未記載)(下5桁71003),19dad6fd85019772
2026-04-30,safekey,1011,KIDSLINE,9933,JPY,下5桁71011(梓名義); 同一決済で6通,19dddb6899d8ea07
2026-04-30,safekey,1011,KIDSLINE,9933,JPY,下5桁71011(梓名義),19dddb65a2e962c4
2026-04-30,safekey,1011,KIDSLINE,9933,JPY,下5桁71011(梓名義),19dddb566a4b9260
2026-04-30,safekey,1011,KIDSLINE,9933,JPY,下5桁71011(梓名義),19dddb4df8417d60
2026-04-30,safekey,1011,KIDSLINE,9933,JPY,下5桁71011(梓名義),19dddb3d65dd77f5
2026-04-30,safekey,1011,KIDSLINE,9933,JPY,下5桁71011(梓名義),19dddb3557022367
2026-05-03,weekly_total,1005,,178576,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19defec457e6d6a1
2026-05-03,weekly_total,3004,,367428,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19defec457e6d6a1
2026-05-04,weekly_total,1003,,3118856,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19defec457e6d6a1
2026-05-04,weekly_total,3009,,2264667,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19defec457e6d6a1
2026-05-04,safekey,1005,Tesla Japan GK,50000,JPY,下5桁51005,19df28661732a1a2
2026-05-07,monthly_debit,3004,,274342,JPY,振替日2026-05-11,19e04cd4a4d0e202
2026-05-08,monthly_debit,1005,,124856,JPY,振替日2026-05-11,19e04cd4a4d0e202
2026-05-08,monthly_debit,3009,,2129879,JPY,振替日2026-05-11,19e04cd4a4d0e202
2026-05-08,monthly_debit,1003,,2004782,JPY,振替日2026-05-11,19e04cd4a4d0e202
2026-05-10,safekey,1011,KIDSLINE,10970,JPY,下5桁71011(梓名義),19e0f3979c7920e8
2026-05-19,billed_confirm,1005,,,,請求金額確定通知(金額はメール未記載)(下5桁51005),19e3da3998d740f8
2026-05-19,billed_confirm,3004,,,,請求金額確定通知(金額はメール未記載)(下5桁33004),19e3da3998d740f8
2026-05-19,billed_confirm,3009,,,,請求金額確定通知(金額はメール未記載)(下5桁73009),19e3da3998d740f8
2026-05-21,billed_confirm,1003,,,,請求金額確定通知(金額はメール未記載)(下5桁71003),19e47e9d6e2dd525
2026-05-24,safekey,1011,ARTSCHOOLTORNADO,25666,JPY,下5桁71011(梓名義),19e59ddbe5a3a8d8
2026-06-01,weekly_total,1003,,3293881,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19e801e7039c7f31
2026-06-01,weekly_total,3009,,499175,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19e801e7039c7f31
2026-06-05,safekey,1011,KIDSLINE,7300,JPY,下5桁71011(梓名義),19e95bfeca732078
2026-06-07,monthly_debit,1005,,120834,JPY,振替日2026-06-10,19e9f9660417ecdf
2026-06-07,monthly_debit,3004,,207621,JPY,振替日2026-06-10,19e9f9660417ecdf
2026-06-07,monthly_debit,3009,,377222,JPY,振替日2026-06-10,19e9f9660417ecdf
2026-06-07,monthly_debit,1003,,2639312,JPY,振替日2026-06-10,19e9f9660417ecdf
2026-06-07,weekly_total,1005,,137281,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19ea42b1a743be38
2026-06-07,weekly_total,3004,,452326,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19ea42b1a743be38
2026-06-19,billed_confirm,1005,,,,請求金額確定通知(金額はメール未記載)(下5桁51005),19edd49c8640de2a
2026-06-19,billed_confirm,3004,,,,請求金額確定通知(金額はメール未記載)(下5桁33004),19edd49c8640de2a
2026-06-19,billed_confirm,3009,,,,請求金額確定通知(金額はメール未記載)(下5桁73009),19edd49c8640de2a
2026-06-20,billed_confirm,1006,,,,請求金額確定通知(金額はメール未記載)(下5桁81006),19ee733e7b30a056
2026-06-20,billed_confirm,1003,,,,請求金額確定通知(金額はメール未記載)(下5桁71003),19ee733e7b30a056
2026-06-26,safekey,1003,Mercari,29800,JPY,下5桁71003,19f065467abd6620
2026-06-26,safekey,1003,Mercari,16900,JPY,下5桁71003,19f0652835546939
2026-06-26,safekey,1003,Mercari,39000,JPY,下5桁71003,19f06513a2da47ce
2026-07-05,weekly_total,1005,,123267,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19f345d559566506
2026-07-05,weekly_total,3004,,1163053,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19f345d559566506
2026-07-06,weekly_total,1003,,5073897,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19f345d559566506
2026-07-06,weekly_total,3009,,141719,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19f345d559566506
2026-07-07,monthly_debit,1003,,3457473,JPY,振替日2026-07-10,19f3a961c7c5b9cf
2026-07-07,monthly_debit,1005,,97387,JPY,振替日2026-07-10,19f3a961c7c5b9cf
2026-07-07,monthly_debit,3004,,598046,JPY,振替日2026-07-10,19f3a961c7c5b9cf
2026-07-07,monthly_debit,3009,,130731,JPY,振替日2026-07-10,19f3a961c7c5b9cf
2026-07-16,safekey,1011,Grab*,1000,VND,下5桁71011(梓名義); travel(ベトナム配車),19f6bab0c110d646
2026-07-19,billed_confirm,1005,,,,請求金額確定通知(金額はメール未記載)(下5桁51005),19f77c8a0842476a
2026-07-19,billed_confirm,3004,,,,請求金額確定通知(金額はメール未記載)(下5桁33004),19f77c8a0842476a
2026-07-19,billed_confirm,3009,,,,請求金額確定通知(金額はメール未記載)(下5桁73009),19f77c8a0842476a
2026-07-19,safekey,1011,Grab,640700,IDR,下5桁71011(梓名義); travel,19f799a916fd7d5e
2026-07-19,safekey,1011,Grab,640700,IDR,下5桁71011(梓名義); travel,19f799968ca75369
2026-07-20,billed_confirm,1006,,,,請求金額確定通知(金額はメール未記載)(下5桁81006),19f81bc3a2ab5b38
2026-07-20,billed_confirm,1003,,,,請求金額確定通知(金額はメール未記載)(下5桁71003),19f81bc3a2ab5b38
2026-07-20,safekey,1011,Grab,37100,IDR,下5桁71011(梓名義); travel,19f7f2b7652b03f8
2026-07-20,safekey,1011,Grab,37100,IDR,下5桁71011(梓名義); travel,19f7f01d570aab4e
2026-07-20,safekey,1011,Grab,85500,IDR,下5桁71011(梓名義); travel,19f7ef3ba714e33d
2026-07-20,safekey,1011,Grab,25800,IDR,下5桁71011(梓名義); travel,19f7eaef79f47f70
2026-07-20,safekey,1011,Grab,25800,IDR,下5桁71011(梓名義); travel,19f7ead26d1054a3
2026-07-20,safekey,1011,Grab,25800,IDR,下5桁71011(梓名義); travel,19f7eacc35bb3006
2026-07-26,safekey,1011,Grab,127400,IDR,下5桁71011(梓名義); travel(インドネシア配車),19f9dbc960836f78
2026-07-31,safekey,1006,CORPORATION TAX,6682738,JPY,下5桁81006; 法人税納付,19fb662885e5fce7
2026-08-02,weekly_total,1005,,97964,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19fc48f57479808b
2026-08-02,weekly_total,3004,,1748841,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19fc48f57479808b
2026-08-03,weekly_total,1003,,5224475,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19fc48f57479808b
2026-08-03,weekly_total,3009,,278415,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19fc48f57479808b
2026-08-04,safekey,1003,KIDSLINE,9933,JPY,下5桁71003,19fcc2047eafb6f8
2026-08-04,safekey,1003,KIDSLINE,9933,JPY,下5桁71003,19fcc20017573139
2026-08-04,safekey,1003,KIDSLINE,9933,JPY,下5桁71003,19fcbd0a18425e2f
2026-08-04,safekey,1011,KIDSLINE,7150,JPY,下5桁71011(梓名義),19fcbce889e9c400
2026-08-07,monthly_debit,3009,,149810,JPY,振替日2026-08-10,19fd95586bf07993
2026-08-07,monthly_debit,1003,,4089812,JPY,振替日2026-08-10,19fd95586bf07993
2026-08-07,monthly_debit,1005,,44694,JPY,振替日2026-08-10,19fd95586bf07993
2026-08-07,monthly_debit,3004,,1152626,JPY,振替日2026-08-10,19fd95586bf07993
2026-08-07,safekey,1003,JRC SMART EX,19790,JPY,下5桁71003; travel,19fdafe4a3cf18fd
2026-08-13,decline,3004,CBCLOUD,13728,JPY,下6桁933004; 支払未確認のため利用不可(家族/追加カード),19ff91600649e493
2026-08-13,decline,1003,THE CITY BAKERY KYOTO SH,367,JPY,下6桁671003; 利用残高高額のため利用不可,19ff91600649e493
2026-08-13,decline,1003,WATTS SHIJOTERAMACHITEN,1103,JPY,下6桁671003; 利用残高高額のため利用不可(家族/追加カード),19ff91600649e493
2026-08-13,decline,1003,GO APP PREMIUM,1200,JPY,下6桁671003; 利用残高高額のため利用不可,19ff91600649e493
2026-08-13,decline,3004,GO APP RIDE FEE,2400,JPY,下6桁933004; 支払未確認のため利用不可(家族/追加カード),19ff91600649e493
2026-08-13,decline,1003,WWW DAZN COM,1980,JPY,下6桁671003; 利用残高高額のため利用不可,19ff91600649e493
2026-08-13,decline,1006,OKEYA KONDO,63800,JPY,下6桁081006; 利用残高高額のため利用不可,19ff91600649e493
2026-08-15,safekey,1003,Yutai-Market Inc,5400,JPY,下5桁71003,1a00361f015ed7c8
2026-08-19,billed_confirm,1005,,,,請求金額確定通知(金額はメール未記載)(下5桁51005),1a017a4d4878dab3
2026-08-19,billed_confirm,3004,,,,請求金額確定通知(金額はメール未記載)(下5桁33004),1a017a4d4878dab3
2026-08-19,billed_confirm,3009,,,,請求金額確定通知(金額はメール未記載)(下5桁73009),1a017a4d4878dab3
2026-08-21,billed_confirm,1006,,,,請求金額確定通知(金額はメール未記載)(下5桁81006),1a021c5fc696af19
2026-08-21,billed_confirm,1003,,,,請求金額確定通知(金額はメール未記載)(下5桁71003),1a021c5fc696af19
2026-08-31,billed_confirm,1006,,0,JPY,"口座振替金額変更: 7,384,536円→0円(下5桁81006)",1a058905d379a671
2026-08-31,billed_confirm,3004,,0,JPY,"口座振替金額変更: 1,328,702円→0円(下5桁33004)",1a058905d379a671
2026-08-31,billed_confirm,1005,,0,JPY,"口座振替金額変更: 90,042円→0円(下5桁51005)",1a058905d379a671
2026-08-31,billed_confirm,1003,,0,JPY,"口座振替金額変更: 2,674,796円→0円(下5桁71003)",1a058905d379a671
2026-08-31,billed_confirm,3009,,0,JPY,"口座振替金額変更: 169,115円→0円(下5桁73009)",1a058905d379a671
2026-09-02,safekey,1011,KIDSLINE,9933,JPY,下5桁71011(梓名義); 認証コード再送含む4通(同一決済試行),1a060e7bc89d8aa0
2026-09-02,safekey,1011,KIDSLINE,9933,JPY,下5桁71011(梓名義),1a0609d54a167754
2026-09-02,safekey,1011,KIDSLINE,9933,JPY,下5桁71011(梓名義),1a0609bfd4c78a35
2026-09-02,safekey,1011,KIDSLINE,9933,JPY,下5桁71011(梓名義),1a0609b3a3328c56
2026-09-06,weekly_total,1005,,40452,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),1a078cdf78f43810
2026-09-06,weekly_total,3004,,609241,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),1a078cdf78f43810
2026-09-07,weekly_total,1003,,567180,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),1a078cdf78f43810
2026-09-07,weekly_total,3009,,36892,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),1a078cdf78f43810
